,psf_over_re,obs_lr,obs_elr,e,n,Reff_fac
0,0.05,1.0,1.0,0.01,1.0,1.0
1,0.059000000000000004,1.0,1.0,0.01,1.0,1.0
2,0.068,1.0,1.0,0.01,1.0,1.0
3,0.077,1.0,1.0,0.01,1.0,1.0
4,0.08600000000000001,1.0,1.0,0.01,1.0,1.0
5,0.095,1.0,1.0,0.01,1.0,1.0
6,0.10400000000000001,1.0,1.0,0.01,1.0,1.0
7,0.11300000000000002,1.0,1.0,0.01,1.0,1.0
8,0.12200000000000001,1.0,1.0,0.01,1.0,1.0
9,0.131,1.0,1.0,0.01,1.0,1.0
10,0.14,1.0,1.0,0.01,1.0,1.0
11,0.14900000000000002,1.0,1.0,0.01,1.0,1.0
12,0.158,1.0,1.0,0.01,1.0,1.0
13,0.167,1.0,1.0,0.01,1.0,1.0
14,0.17600000000000005,1.0,1.0,0.01,1.0,1.0
15,0.185,1.0,1.0,0.01,1.0,1.0
16,0.194,1.0,1.0,0.01,1.0,1.0
17,0.203,1.0,1.0,0.01,1.0,1.0
18,0.21200000000000002,1.0,1.0,0.01,1.0,1.0
19,0.22100000000000003,1.0,1.0,0.01,1.0,1.0
20,0.23000000000000004,1.0,1.0,0.01,1.0,1.0
21,0.239,1.0,1.0,0.01,1.0,1.0
22,0.248,1.0,1.0,0.01,1.0,1.0
23,0.257,1.0,1.0,0.01,1.0,1.0
24,0.266,1.0,1.0,0.01,1.0,1.0
25,0.275,1.0,1.0,0.01,1.0,1.0
26,0.28400000000000003,1.0,1.0,0.01,1.0,1.0
27,0.29300000000000004,1.0,1.0,0.01,1.0,1.0
28,0.30200000000000005,1.0,1.0,0.01,1.0,1.0
29,0.311,1.0,1.0,0.01,1.0,1.0
30,0.32,1.0,1.0,0.01,1.0,1.0
31,0.329,1.0,1.0,0.01,1.0,1.0
32,0.338,1.0,1.0,0.01,1.0,1.0
33,0.34700000000000003,1.0,1.0,0.01,1.0,1.0
34,0.35600000000000004,1.0,1.0,0.01,1.0,1.0
35,0.365,1.0,1.0,0.01,1.0,1.0
36,0.374,1.0,1.0,0.01,1.0,1.0
37,0.383,1.0,1.0,0.01,1.0,1.0
38,0.392,1.0,1.0,0.01,1.0,1.0
39,0.401,1.0,1.0,0.01,1.0,1.0
40,0.41000000000000003,1.0,1.0,0.01,1.0,1.0
41,0.419,1.0,1.0,0.01,1.0,1.0
42,0.428,1.0,1.0,0.01,1.0,1.0
43,0.437,1.0,1.0,0.01,1.0,1.0
44,0.446,1.0,1.0,0.01,1.0,1.0
45,0.455,1.0,1.0,0.01,1.0,1.0
46,0.464,1.0,1.0,0.01,1.0,1.0
47,0.473,1.0,1.0,0.01,1.0,1.0
48,0.482,1.0,1.0,0.01,1.0,1.0
49,0.491,1.0,1.0,0.01,1.0,1.0
