Unnamed: 0,psf_over_re,obs_lr,obs_elr,e,n,Reff_fac,corr_lr,corr_elr
0,0.1,1.0,1.0,0.01,4.0,1.0,1.0971175266038422,1.0974774825471432
1,0.108,1.0,1.0,0.01,4.0,1.0,1.1094111977585943,1.1099348648170895
2,0.11599999999999999,1.0,1.0,0.01,4.0,1.0,1.1222245699862181,1.1229115581300775
3,0.124,1.0,1.0,0.01,4.0,1.0,1.135539080783757,1.1363869184734845
4,0.132,1.0,1.0,0.01,4.0,1.0,1.1493370240786034,1.1503413236349302
5,0.14,1.0,1.0,0.01,4.0,1.0,1.1636013372800227,1.164755932694693
6,0.14800000000000002,1.0,1.0,0.01,4.0,1.0,1.1783154308127093,1.1796124944451136
7,0.15600000000000006,1.0,1.0,0.01,4.0,1.0,1.1934630504772326,1.1948931934886091
8,0.16399999999999998,1.0,1.0,0.01,4.0,1.0,1.2090281657212496,1.2105805259588784
9,0.172,1.0,1.0,0.01,4.0,1.0,1.2249948787675644,1.2266571989783452
10,0.18000000000000002,1.0,1.0,0.01,4.0,1.0,1.2413473508379012,1.2431060494689508
11,0.188,1.0,1.0,0.01,4.0,1.0,1.2580697426250007,1.2599099789960446
12,0.196,1.0,1.0,0.01,4.0,1.0,1.275146166821682,1.2770519020879387
13,0.204,1.0,1.0,0.01,4.0,1.0,1.2925606509927217,1.2945147060288802
14,0.212,1.0,1.0,0.01,4.0,1.0,1.3102971094264937,1.3122812205321626
15,0.22,1.0,1.0,0.01,4.0,1.0,1.3283393228639673,1.3303341960043782
16,0.228,1.0,1.0,0.01,4.0,1.0,1.3466709251976665,1.3486562893402017
17,0.236,1.0,1.0,0.01,4.0,1.0,1.3652753963798905,1.3672300563597994
18,0.244,1.0,1.0,0.01,4.0,1.0,1.384136060890377,1.3860379501323707
19,0.252,1.0,1.0,0.01,4.0,1.0,1.4032360911976405,1.4050623245298826
20,0.26,1.0,1.0,0.01,4.0,1.0,1.4225585157121048,1.4242854424324627
21,0.268,1.0,1.0,0.01,4.0,1.0,1.4420862307778133,1.4436894880668087
22,0.276,1.0,1.0,0.01,4.0,1.0,1.4618020162866738,1.463256583005653
23,0.28400000000000003,1.0,1.0,0.01,4.0,1.0,1.481688554527746,1.4829688053930936
24,0.29200000000000004,1.0,1.0,0.01,4.0,1.0,1.5017284519061977,1.5028082119898738
25,0.30000000000000004,1.0,1.0,0.01,4.0,1.0,1.5219042631839592,1.522756862656482
26,0.30800000000000005,1.0,1.0,0.01,4.0,1.0,1.5421985179081303,1.5427968469116955
27,0.3160000000000001,1.0,1.0,0.01,4.0,1.0,1.5625937487048864,1.5629103122211
28,0.3240000000000001,1.0,1.0,0.01,4.0,1.0,1.583072521126864,1.583079493685094
29,0.332,1.0,1.0,0.01,4.0,1.0,1.6036174647513626,1.6032867448096593
30,0.34,1.0,1.0,0.01,4.0,1.0,1.6242113052357676,1.6235145690562627
31,0.348,1.0,1.0,0.01,4.0,1.0,1.6448368970457086,1.643745651880114
32,0.35600000000000004,1.0,1.0,0.01,4.0,1.0,1.665477256580977,1.663962892978953
33,0.364,1.0,1.0,0.01,4.0,1.0,1.6861155954342901,1.684149438487743
34,0.37200000000000005,1.0,1.0,0.01,4.0,1.0,1.7067353535288206,1.7042887128683621
35,0.38,1.0,1.0,0.01,4.0,1.0,1.7273202318920422,1.7243644502576223
36,0.38799999999999996,1.0,1.0,0.01,4.0,1.0,1.7478542248359887,1.7443607250517883
37,0.396,1.0,1.0,0.01,4.0,1.0,1.7683216513273907,1.764261981521216
38,0.40399999999999997,1.0,1.0,0.01,4.0,1.0,1.7887071853454268,1.7840530622647435
39,0.412,1.0,1.0,0.01,4.0,1.0,1.8089958850398342,1.803719235329996
40,0.42,1.0,1.0,0.01,4.0,1.0,1.8291732205178501,1.823246219842713
41,0.4280000000000001,1.0,1.0,0.01,4.0,1.0,1.849225100104769,1.8426202100054907
42,0.4360000000000001,1.0,1.0,0.01,4.0,1.0,1.8691378949396862,1.8618278973438211
43,0.4440000000000001,1.0,1.0,0.01,4.0,1.0,1.8888984617851263,1.8808564910949135
44,0.4520000000000001,1.0,1.0,0.01,4.0,1.0,1.9084941639465778,1.8996937366523188
45,0.4600000000000001,1.0,1.0,0.01,4.0,1.0,1.9279128902153515,1.9183279319967896
46,0.4680000000000001,1.0,1.0,0.01,4.0,1.0,1.9471430717654954,1.9367479420609155
47,0.47600000000000003,1.0,1.0,0.01,4.0,1.0,1.9661736969525743,1.954943210991762
48,0.484,1.0,1.0,0.01,4.0,1.0,1.9849943239788719,1.9729037722919247
49,0.49200000000000005,1.0,1.0,0.01,4.0,1.0,2.0035950914058174,1.9906202568349265
